"","X","법정동주소","도로명주소","시도","시군구","읍면동","x","y","flag"
"83",83,"전라남도 나주시 산포면 송림리 391",NA,"전라남도","나주시","산포면 송림리",126.8100299,35.0159858,"NORMAL"
"84",84,"전라남도 곡성군 겸면 현정리 124",NA,"전라남도","곡성군","겸면 현정리",127.1659022,35.253727,"NORMAL"
"85",85,"경상북도 청송군 진보면 괴정리 696-1","신촌갈평길 221-35","경상북도","청송군","진보면 괴정리",129.1209023,36.48584,"NORMAL"
"86",86,"전라남도 여수시 둔덕동 276","좌수영로 646-17","전라남도","여수시","둔덕동",127.6965141,34.7823276,"NORMAL"
"87",87,"광주광역시 남구 방림동 8-16","천변좌로586번길 7","광주광역시","남구","방림동",126.9252531,35.129652,"NORMAL"
"88",88,"경기도 남양주시 화도읍 가곡리 258-85",NA,"경기도","남양주시","화도읍 가곡리",127.3014475,37.6883132,"NORMAL"
"89",89,"충청북도 충주시 수안보면 수회리 600",NA,"충청북도","충주시","수안보면 수회리",127.9727261,36.8793389,"NORMAL"
"90",90,"인천광역시 서구 가정동 502-12","석곶로22번길 8","인천광역시","서구","가정동",126.6745021,37.5191722,"NORMAL"
"91",91,"전라남도 구례군 간전면 삼산리 225","21","전라남도","구례군","간전면 삼산리",127.5431409,35.1581282,"NORMAL"
"92",92,"충청북도 제천시 송학면 도화리 560-4",NA,"충청북도","제천시","송학면 도화리",128.2284858,37.1844737,"NORMAL"
"93",93,"전라남도 영광군 낙월면 상낙월리 산347","54","전라남도","영광군","낙월면 상낙월리",126.1384499,35.202345,"NORMAL"
"94",94,"강원특별자치도 정선군 신동읍 조동리 327-4",NA,"강원특별자치도","정선군","신동읍 조동리",128.6734417,37.1962011,"NORMAL"
"95",95,"전라남도 영광군 백수읍 천정리 663","120","전라남도","영광군","백수읍 천정리",126.4307714,35.3041061,"NORMAL"
"96",96,"제주특별자치도 제주시 애월읍 봉성리 4115","봉성로 59-3","제주특별자치도","제주시","애월읍 봉성리",126.3120801,33.4184129,"NORMAL"
"97",97,"대구광역시 북구 대현동 484-14","30","대구광역시","북구","대현동",128.6051445,35.8829911,"NORMAL"
"98",98,"서울특별시 노원구 상계동 1294","덕릉로118길 27","서울특별시","노원구","상계동",127.0804267,37.6681543,"NORMAL"
"99",99,"충청남도 홍성군 결성면 성호리 501","성호길25번길 178-26","충청남도","홍성군","결성면 성호리",126.5192454,36.5320469,"NORMAL"
"100",100,"전라남도 곡성군 옥과면 율사리 419",NA,"전라남도","곡성군","옥과면 율사리",127.1271496,35.2761909,"NORMAL"
